net_type,province,city_name,area_name,area_code,msc_name,msc_id,sign_point_code,scp_vc_id,number_reply_code,remark,start_time
DS,湖南,衡阳,娄底,738,衡阳DS4,13742738,18-254-114,,计划(2010)000号,,2016/11/9 9:13
,湖南,衡阳,邵阳,739,衡阳DS4,13743739,18-254-11518-254-11,,20160908,,2016/9/8 15:44
DS,湖南,衡阳,永州,746,衡阳DS4,13745746,18-254-11618-254-12,,计划(2010)000号,,2016/11/9 9:13
DS,湖南,衡阳,娄底,738,衡阳DS4,13448747,18-244-114,,计划(2010)000号,,2016/11/9 9:13
DS,湖南,衡阳,邵阳,739,衡阳DS4,13741739,18-245-7018-245-91,,计划(2010)000号,,2016/11/9 9:13
DS,湖南,衡阳,永州,746,衡阳DS4,13741746,18-245-7118-245-92,,计划(2010)000号,,2016/11/9 9:13
DS,湖南,常德,常德,736,常德DS3,13743742,18-254-12718-254-237,,计划(2010)000号,,2016/11/9 9:13
DS,湖南,常德,益阳,737,常德DS3,13747737,18-254-128,,计划(2010)000号,,2016/11/9 9:13
DS,湖南,常德,怀化,745,常德DS3,13746745,18-254-12918-254-7,,计划(2010)000号,,2016/11/9 9:13
DS,湖南,常德,岳阳,730,常德DS3,13743730,18-254-130,,计划(2010)000号,,2016/11/9 9:13
GS,湖南,常德,岳阳,730,常德GS04,13440730,18-254-91,,20161109,,2016/11/9 9:13
DS,湖南,长沙,长沙,731,长沙DS3,13747847,18-254-9518-244-2218-244-37,,计划(2010)000号,,2016/11/9 9:13
DS,湖南,长沙,长沙,731,长沙DS3,13745742,18-254-9518-244-2218-244-37,,计划(2010)000号,,2016/11/9 9:13
DS,湖南,长沙,株洲,731,长沙DS3,13741741,18-254-96,,计划(2010)000号,,2016/11/9 9:13
DS,湖南,长沙,湘潭,731,长沙DS3,13745732,18-254-97,,计划(2010)000号,,2016/11/9 9:13
GS,湖南,怀化,怀化,745,怀化GS03,13440739,18-254-65,,20161109,,2016/11/9 9:13
DS,湖南,长沙,长沙,731,长沙DS4,13747848,18-254-9818-244-2318-244-39,,计划(2010)000号,,2016/11/9 9:13
DS,湖南,长沙,长沙,731,长沙DS4,13745841,18-254-9818-244-2318-244-39,,计划(2010)000号,,2016/11/9 9:13
DS,湖南,长沙,株洲,731,长沙DS4,13741843,18-254-99,,计划(2010)000号,,2016/11/9 9:13
DS,湖南,长沙,湘潭,731,长沙DS4,13746732,18-254-100,,计划(2010)000号,,2016/11/9 9:13
GS,湖南,常德,常德,736,常德GS05,13442736,18-255-108,,20161109,,2016/11/9 9:13
GS,湖南,衡阳,衡阳,734,衡阳GS05,13441741,18-255-115,,20161109,,2016/11/9 9:13
GS,湖南,衡阳,衡阳,734,衡阳GS05,13442734,18-255-115,,20161109,,2016/11/9 9:13
GS,湖南,衡阳,衡阳,734,衡阳GS05,13442741,18-255-115,,20161109,,2016/11/9 9:13
GS,湖南,衡阳,衡阳,734,衡阳GS05,13445734,18-255-115,,20161109,,2016/11/9 9:13
GS,湖南,永州,永州,746,永州GS03,13441746,18-255-131,,20161109,,2016/11/9 9:13
GS,湖北,武汉,武汉,27,武汉GS27,13440710,17-254-162,,20161109,,2016/11/9 9:13
GS,湖北,武汉,武汉,27,武汉GS28,13440711,17-254-164,,20161109,,2016/11/9 9:13
GS,湖北,武汉,武汉,27,武汉GS30,13441715,17-254-170,,20161109,,2016/11/9 9:13
GS,湖北,武汉,武汉,27,武汉GS42,13441718,17-254-178,,20161109,,2016/11/9 9:13
GS,湖北,武汉,武汉,27,武汉GS29,13441714,17-254-166,,20161109,,2016/11/9 9:13
GS,湖北,武汉,武汉,27,武汉GS31,13441716,17-254-172,,20161109,,2016/11/9 9:13
GS,湖北,武汉,武汉,27,武汉GS32,13441717,17-254-174,,20161109,,2016/11/9 9:13
GS,湖北,武汉,黄冈,713,武汉GS33,13444725,17-254-180,,20161109,,2016/11/9 9:13
GS,湖北,武汉,黄冈,713,武汉GS34,13444726,17-254-182,,20161109,,2016/11/9 9:13
GS,湖北,武汉,黄冈,713,武汉GS35,13444727,17-254-186,,20161109,,2016/11/9 9:13
GS,湖北,武汉,孝感,712,武汉GS36,13444728,17-254-188,,20161109,,2016/11/9 9:13
GS,湖北,武汉,孝感,712,武汉GS37,13444729,17-254-190,,20161109,,2016/11/9 9:13
